Unnamed: 0,sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop
1020,3364225,3,8,0,32,44,52,5,20,44,70,7,No,0,0.15,0.1,0,No,No,No,Yes,No
1021,3364266,1,2,1,0,0,0,0,0,0,0,0,No,0,0.53,0.53,0,No,No,No,Yes,No
1022,3364342,5,8,0,0,0,0,7,10,11,13,3,No,0,0.96,0.89,0,No,No,No,Yes,No
1023,3364521,137,0,0,438,718,998,157,522,775,815,346,No,0,-99,0,0,No,No,No,No,No
1024,3364607,11,8,0,36,88,114,6,32,67,104,2,No,0,0.41,0.46,0,No,No,No,Yes,No
1025,3364671,0,8,0,4,6,8,1,2,5,7,0,No,0,0.08,0.26,0,No,No,No,Yes,No
1026,3364759,3,2,0,20,20,20,2,3,5,7,0,No,0,0.5,0.52,0,Yes,No,No,No,No
1027,3364771,0,8,0,12,24,36,3,9,18,29,0,No,0,0,0,0,No,No,No,Yes,No
1028,3364872,0,8,0,9,14,20,0,5,16,27,5,No,0,0.8,0.79,0,No,No,No,Yes,No
1029,3364937,0,12,0,9,13,17,5,7,12,15,0,No,0,0.73,0.79,0,No,No,No,Yes,No
1030,3364966,14,2,0,15,30,45,3,13,21,29,0,No,0,0.73,0.76,0,No,No,Yes,Yes,No
1031,3365133,37,2,24,48,120,192,0,68,127,170,18,No,0,0.97,0.89,0,No,No,No,Yes,No
1032,3365278,2,2,0,150,150,150,32,44,45,50,3,No,0,0.61,0.66,0,Yes,No,No,Yes,No
1033,3365692,3,9,0,19,24,29,4,8,13,25,4,No,0,0.7,0.66,0,No,No,No,Yes,No
1034,3365812,12,8,0,204,366,596,35,141,325,427,40,No,0,0.31,0.2,2,No,No,No,Yes,No
1035,3365826,0,12,0,3,5,6,0,2,3,4,0,No,0,0.57,0.68,0,No,No,No,Yes,No
1036,3365843,1,8,0,1,2,3,1,2,8,8,0,No,0,0.82,0.84,0,No,No,No,Yes,No
1037,3365914,3,2,0,56,98,112,23,66,67,68,24,No,0,0.03,0.1,0,No,No,No,Yes,No
1038,3366420,172,12,0,0,0,0,15,37,51,54,0,No,0,0.94,0.87,0,No,No,No,Yes,No
1039,3366454,3,8,0,0,2,4,1,2,2,5,0,No,0,0.96,0.96,0,No,No,No,Yes,No
1040,3366553,2,8,0,18,26,26,2,6,15,28,2,No,0,0.98,0.98,0,No,No,No,Yes,No
1041,3366591,-2,12,1,16,22,28,7,17,29,41,0,No,0,0.77,0.73,2,No,No,No,Yes,No
1042,3366621,0,12,1,4,7,10,2,6,8,11,0,No,0,0.73,0.79,0,No,No,No,Yes,No
1043,3366717,1,9,0,6,9,12,1,3,5,6,0,No,0,0,0,0,No,No,No,Yes,No
1044,3366751,8,8,3,130,208,260,26,80,142,202,31,No,0,0.94,0.92,1,No,No,No,Yes,No
1045,3366849,0,2,0,10,10,10,3,3,5,5,0,No,0,0.04,0.03,0,Yes,No,No,Yes,No
1046,3366870,1,8,0,7,10,16,4,10,12,14,0,No,0,0.84,0.87,0,No,No,No,Yes,No
1047,3367121,9,8,0,9,9,18,1,4,12,16,10,No,0,0.95,0.77,0,No,No,No,Yes,No
1048,3367370,0,9,0,20,20,20,4,6,18,24,0,No,0,0.7,0.66,0,No,No,Yes,Yes,No
1049,3367405,6,8,0,24,48,64,6,21,38,57,0,No,0,0.86,0.88,0,No,No,Yes,Yes,No
1050,3367558,11,8,0,0,0,0,11,61,79,80,13,No,0,0.9,0.92,0,No,No,No,Yes,No
1051,3367560,0,8,0,3,5,6,4,7,11,20,1,No,0,0.96,0.96,0,No,No,No,Yes,No
1052,3367630,0,8,0,2,3,4,1,2,2,3,0,No,0,0.87,0.82,0,No,No,No,Yes,No
1053,3367740,7,8,0,0,1,4,3,8,13,29,2,No,0,0.96,0.96,0,No,No,No,Yes,No
1054,3367848,7,2,0,50,50,50,4,8,16,20,0,No,0,0.9,0.92,0,No,No,No,Yes,No
1055,3368013,0,12,0,0,0,0,1,4,7,7,16,No,0,1,0.99,0,Yes,No,No,No,No
1056,3368079,0,12,0,8,8,8,0,1,3,9,0,No,0,0.73,0.79,0,No,No,No,Yes,No
1057,3368253,10,8,0,8,15,29,6,9,18,31,4,No,0,0.79,0.79,0,No,No,No,Yes,No
1058,3368282,1243,8,0,3520,6746,10506,884,3335,6514,8933,889,No,0,0.79,0.71,0,No,No,Yes,Yes,No
1059,3368290,0,8,0,36,57,78,9,27,48,71,0,No,0,0.37,0.34,0,No,No,No,Yes,No
1060,3368475,0,8,0,3,3,3,0,0,0,1,0,No,0,0,0.07,0,No,No,No,Yes,No
1061,3368559,1,8,0,24,45,60,6,17,17,34,3,No,0,0.72,0.69,0,No,No,No,Yes,No
1062,3368566,11,2,6,14,28,28,1,11,21,27,6,No,0,0.97,0.98,0,No,No,No,Yes,No
1063,3368834,-3,8,0,16,24,32,1,23,27,31,1,No,0,0.99,0.97,3,No,No,No,Yes,No
1064,3368869,7,8,3,0,0,3,11,13,17,22,2,No,0,0.97,0.96,0,No,No,No,Yes,No
1065,3369077,10,8,0,12,22,37,9,20,41,69,0,No,0,0.35,0.36,0,No,No,No,Yes,No
1066,3369120,13,8,10,23,33,48,9,17,28,48,5,No,0,0.99,0.99,0,No,No,No,Yes,No
1067,3369326,0,8,0,5,10,15,0,0,0,0,0,No,0,1,0.98,0,No,No,No,Yes,No
1068,3369441,1,2,0,28,44,60,11,26,38,39,1,No,0,0.78,0.75,0,No,No,No,Yes,No
1069,3369633,12,0,0,0,0,0,0,2,7,12,1,No,0,0,0,0,No,No,Yes,No,No
1070,3369635,6,9,0,26,40,40,6,22,41,62,7,No,0,0.99,0.99,0,No,No,No,Yes,No
1071,3369707,3,2,0,0,0,0,0,0,2,2,0,No,0,0.73,0.76,0,Yes,No,No,Yes,No
1072,3369735,19,2,0,26,52,78,7,23,73,116,0,No,0,0.9,0.93,0,No,No,Yes,Yes,No
1073,3369777,6,2,0,4,8,12,2,5,15,18,2,No,0,0.22,0.14,0,No,No,No,Yes,No
1074,3369889,3,2,0,26,27,27,0,0,0,0,1,No,0,0,0,0,Yes,No,No,Yes,No
1075,3370161,2,8,0,15,23,31,6,16,21,43,1,No,0,0.92,0.89,0,No,No,No,Yes,No
1076,3370286,2,2,0,4,6,10,4,7,11,20,2,No,0,1,0.99,0,No,No,No,Yes,No
1077,3370430,9,9,0,0,1,1,4,9,16,28,0,No,0,0.99,0.99,0,No,No,No,Yes,No
1078,3370575,16,2,0,0,0,0,4,6,8,10,0,No,0,0.83,0.79,0,Yes,No,No,Yes,No
1079,3370722,149,8,42,308,647,1030,99,342,765,961,86,No,0,0.13,0.17,0,No,No,No,Yes,No
1080,3370822,0,2,0,5,5,5,0,0,0,0,1,No,0,0,0,0,Yes,No,No,Yes,No
1081,3370962,1,8,0,2,3,5,2,3,5,6,0,No,0,1,0.92,0,No,No,No,Yes,No
1082,3371092,2,12,0,2,4,5,0,1,3,4,3,No,0,0.73,0.79,0,No,No,No,Yes,No
1083,3371205,1,8,0,3,4,6,0,2,3,4,3,No,0,0.95,0.92,0,No,No,No,Yes,No
1084,3371291,85,15,0,0,0,0,8,20,41,60,10,No,0,0.52,0.57,0,No,No,Yes,Yes,No
1085,3371335,3,8,0,29,45,65,5,21,36,59,11,No,0,0.5,0.46,0,No,No,No,Yes,No
1086,3371485,2,3,0,15,23,31,3,11,18,28,0,No,0,0.99,0.99,0,No,No,No,Yes,No
1087,3371764,27,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No
1088,3371803,0,2,0,8,8,8,2,2,2,2,0,No,0,0.27,0.26,0,Yes,No,Yes,Yes,No
1089,3372253,2,30,0,0,40,48,1,11,27,41,0,No,0,0.83,0.92,0,No,No,No,Yes,No
1090,3372323,231,8,0,0,0,0,0,0,0,0,0,No,0,0.97,0.96,0,No,No,No,Yes,No
1091,3372523,1,3,0,0,0,0,0,0,3,4,0,No,0,1,0.99,0,No,No,No,Yes,No
1092,3372531,7,2,6,22,33,44,0,10,23,28,0,No,0,0.83,0.85,0,No,No,No,Yes,No
1093,3372548,0,2,0,8,12,16,2,6,8,14,0,No,0,0.97,0.93,0,No,No,No,Yes,No
1094,3372719,0,2,0,3,5,6,0,0,3,3,1,No,0,0.75,0.78,0,No,No,No,Yes,No
1095,3372790,43,8,18,85,104,142,29,64,108,156,40,No,0,0.9,0.92,0,No,No,No,Yes,No
1096,3372930,0,12,0,11,17,26,1,13,27,38,1,No,0,0.7,0.76,0,No,No,Yes,Yes,No
1097,3373016,-1,2,0,8,16,16,3,5,8,9,2,No,0,1,0.95,1,Yes,No,Yes,Yes,No
1098,3373041,-1,14,9,112,161,231,36,127,203,260,22,No,0,0.65,0.71,1,No,No,No,Yes,No
1099,3373285,2,8,0,80,140,188,3,32,93,139,20,No,0,0.12,0.1,0,No,No,Yes,Yes,No
1100,3373469,8,2,0,12,32,48,8,23,44,53,0,No,0,0.93,0.92,0,No,No,No,Yes,No
1101,3373540,0,8,0,53,83,133,2,27,51,65,16,No,0,0.78,0.8,0,No,No,No,Yes,No
1102,3373564,0,2,4,30,45,70,5,24,42,76,3,No,0,0.99,0.96,0,No,No,No,Yes,No
1103,3374194,2,9,0,23,42,54,2,5,33,46,9,No,0,0.7,0.66,0,No,No,No,Yes,No
1104,3374225,21,8,0,17,34,51,6,21,38,50,8,No,0,0.22,0.13,0,No,No,No,Yes,No
1105,3374255,0,12,0,20,36,60,3,17,26,36,0,No,0,0.46,0.4,0,No,No,No,Yes,No
1106,3374310,23,2,0,42,84,126,9,35,67,91,0,No,0,0.92,0.92,0,No,No,No,Yes,No
1107,3374417,0,9,0,3,5,6,4,6,6,6,0,No,0,0.93,0.78,0,No,No,No,Yes,No
1108,3374588,0,8,0,3,3,3,0,1,2,2,1,No,0,0.37,0.34,0,No,No,Yes,Yes,No
1109,3374589,3,2,0,2,2,2,4,7,19,20,1,No,0,0.79,0.61,0,Yes,No,Yes,Yes,No
1110,3374601,0,2,0,0,0,0,3,3,3,3,0,No,0,0.94,0.96,0,No,No,No,Yes,No
1111,3374724,3,9,0,0,2,3,0,2,2,2,0,No,0,0.93,0.78,0,No,No,No,Yes,No
1112,3375043,-89,8,58,918,1290,1662,457,962,1310,1737,81,No,0,0.55,0.74,119,No,No,No,Yes,No
1113,3375078,1,8,0,29,47,73,5,13,30,43,0,No,0,0.78,0.75,0,No,No,No,Yes,No
1114,3375102,1,4,0,4,8,11,3,5,5,6,0,No,0,0.95,0.77,0,No,No,No,Yes,No
1115,3375315,2,9,0,4,8,10,2,4,9,9,0,No,0,0.54,0.48,0,No,No,No,Yes,No
1116,3375555,20,2,8,516,932,1380,2,2,2,4,98,No,0,0.7,0.71,0,No,No,No,Yes,No
1117,3375643,18,2,0,0,24,51,9,22,42,68,2,No,0,0.6,0.71,0,No,No,No,Yes,No
1118,3375668,8,12,0,16,32,32,7,15,26,37,9,No,0,0.7,0.76,0,No,No,No,Yes,No
1119,3375730,-1,8,0,22,33,33,1,6,11,23,5,No,0,0.19,0.49,1,No,No,No,Yes,No
1120,3375777,0,5,0,118,187,261,0,1,1,1,11,No,0,0.65,0.71,0,No,No,No,Yes,No
1121,3375796,1,8,0,11,23,29,2,6,16,25,0,No,0,0.91,0.95,0,No,No,No,Yes,No
1122,3375847,0,12,0,8,8,8,0,1,4,7,0,No,0,0.46,0.4,0,No,No,No,Yes,No
1123,3375931,11,8,0,14,34,58,8,27,58,79,0,No,0,0.97,0.96,0,No,No,No,Yes,No
1124,3376003,8,8,0,0,0,4,0,2,4,5,0,No,0,0.9,0.88,0,No,No,No,Yes,No
1125,3376288,15,8,0,74,163,252,0,0,0,0,0,No,0,1,1,0,No,No,No,Yes,No
1126,3376313,54,8,5,272,272,323,57,172,257,390,113,No,0,0.87,0.88,0,No,No,No,Yes,No
1127,3376447,0,2,0,7,7,12,0,0,0,0,0,No,0,0.82,0.81,0,No,No,Yes,Yes,No
1128,3376673,0,12,0,10,15,20,1,13,18,22,3,No,0,0.73,0.79,0,No,No,No,Yes,No
1129,3376705,11,2,0,0,22,22,22,45,74,86,3,No,0,1,0.98,0,No,No,No,Yes,No
1130,3376728,7,2,0,12,24,36,11,19,38,68,0,No,0,0.99,0.99,0,No,No,No,Yes,No
1131,3376778,0,8,0,30,40,50,9,19,33,43,2,No,0,0.34,0.57,0,No,No,No,Yes,No
1132,3376851,0,52,0,2,2,3,0,3,8,11,0,No,0,0.99,0.94,0,Yes,No,No,No,No
1133,3377060,1,2,3,15,27,48,9,18,35,42,0,No,0,1,0.99,0,No,No,Yes,Yes,No
1134,3377181,12,2,0,18,42,66,7,25,52,53,12,No,0,0.53,0.53,0,No,No,No,Yes,No
1135,3377272,1,12,0,2,3,4,1,3,4,4,3,No,0,0.99,0.99,0,No,No,No,Yes,No
1136,3377276,5,8,0,0,0,0,1,3,9,9,2,No,0,0.94,0.8,0,No,No,No,Yes,No
1137,3377294,0,8,0,12,19,26,1,8,10,13,2,No,0,0.9,0.95,0,No,No,No,Yes,No
1138,3377461,29,8,0,0,0,0,0,0,11,11,0,No,0,0.66,0.8,0,No,No,No,Yes,No
1139,3377941,1,8,0,105,165,240,25,82,162,245,28,No,0,0.66,0.64,2,No,No,No,Yes,No
1140,3377983,19,8,0,0,26,39,3,15,29,41,0,No,0,0.93,0.89,0,No,No,No,Yes,No
1141,3378113,13,2,0,0,60,60,6,19,35,46,0,No,0,0.9,0.89,0,No,No,No,Yes,No
1142,3378129,8,2,0,40,60,100,13,34,61,84,0,No,0,1,0.95,0,No,No,No,Yes,No
1143,3378283,3,2,0,2,4,7,0,3,4,6,0,No,0,0.99,0.99,0,No,No,No,Yes,No
1144,3378330,2,3,0,35,45,55,7,22,23,23,0,No,0,0.41,0.46,0,Yes,No,No,Yes,No
1145,3378355,0,2,0,5,5,5,0,0,2,2,0,No,0,0.84,0.87,0,No,No,Yes,Yes,No
1146,3378364,0,2,0,0,0,0,0,0,0,0,0,No,0,0.89,0.9,0,No,No,No,Yes,No
1147,3378388,59,8,0,645,645,645,0,381,557,615,5,No,0,0.98,0.97,0,No,No,No,Yes,No
1148,3378522,70,8,0,45,90,135,21,47,93,145,27,No,0,0.97,0.96,0,No,No,Yes,Yes,No
1149,3378767,7,8,0,10,25,40,0,14,36,53,2,No,0,0.84,0.8,0,No,No,No,Yes,No
1150,3378861,0,8,0,4,5,7,0,2,4,5,0,No,0,0,0,0,No,No,Yes,Yes,No
1151,3378866,1,13,0,8,12,16,4,7,7,14,0,No,0,0.82,0.81,0,No,No,No,Yes,No
1152,3379281,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No
1153,3379438,0,12,0,7,11,17,0,1,6,12,0,No,0,0.7,0.76,0,No,No,No,Yes,No
1154,3379470,0,12,0,11,11,11,0,0,0,0,0,No,0,0.48,0.48,0,Yes,No,No,Yes,No
1155,3379579,0,4,881,1200,1200,1200,618,5195,11187,17611,1,No,0,0.87,0.9,0,No,No,Yes,Yes,No
1156,3379600,0,2,0,47,77,77,0,0,0,0,0,No,0,0.96,0.92,0,No,No,No,Yes,No
1157,3379681,2,8,0,9,9,15,1,9,13,18,0,No,0,0.18,0.33,0,No,No,No,Yes,No
1158,3379732,0,8,0,5,5,5,0,0,2,6,3,No,0,0.32,0.38,0,No,No,No,Yes,No
1159,3379769,73,8,0,252,372,444,11,125,309,718,23,No,0,0.95,0.92,0,No,No,No,Yes,No
1160,3379804,2,8,0,51,81,117,24,48,62,70,0,No,0,0.78,0.75,0,No,No,No,Yes,No
1161,3379814,16,8,1,92,152,202,12,93,163,244,15,No,0,0.57,0.59,1,No,No,No,Yes,No
1162,3379877,0,8,0,3,4,5,0,0,3,5,1,No,0,0.36,0.44,0,No,No,Yes,Yes,No
1163,3379890,0,8,0,25,49,61,27,41,58,78,4,No,0,0.48,0.52,0,No,No,No,Yes,No
1164,3379955,2,8,0,12,18,24,2,9,25,32,4,No,0,0.96,0.61,0,No,No,No,Yes,No
1165,3380025,2,2,0,4,8,12,3,10,10,12,0,No,0,0.89,0.82,0,No,No,No,Yes,No
1166,3380172,0,8,0,41,57,69,2,13,20,42,0,No,0,0.76,0.84,0,No,No,No,Yes,No
1167,3380283,19,4,0,0,0,0,0,0,0,0,0,No,0,0.22,0.21,0,Yes,No,No,Yes,No
1168,3380285,4,2,0,2,4,4,0,3,5,5,0,No,0,0.54,0.56,0,Yes,No,No,Yes,No
1169,3380520,0,8,0,26,26,26,0,7,14,23,4,No,0,0.99,0.99,0,No,No,No,Yes,No
1170,3380581,4,8,0,60,60,60,6,16,29,39,0,No,0,0.83,0.86,0,No,No,No,Yes,No
1171,3380669,2,8,0,0,1,2,1,1,2,5,1,No,0,0.85,0.92,0,No,No,No,Yes,No
1172,3380896,11,2,0,30,65,100,10,41,60,105,2,No,0,0.62,0.58,0,No,No,Yes,Yes,No
1173,3380931,5,8,0,30,48,72,8,32,64,99,2,No,0,0.98,0.97,0,No,No,No,Yes,No
1174,3381058,120,,4,0,0,0,21,73,138,217,33,No,0,-99,-99,0,No,No,Yes,No,No
1175,3381082,0,,0,0,0,0,399,740,740,772,4,No,0,-99,-99,0,No,No,No,Yes,No
1176,3381146,4,11,0,0,6,10,2,6,15,21,0,No,0,0.85,0.8,0,No,No,No,Yes,No
1177,3381153,32,2,24,87,166,218,187,363,467,713,20,No,0,0.89,0.87,13,No,No,No,Yes,No
1178,3381406,9,8,0,0,0,0,0,1,2,2,0,No,0,0.64,0.64,0,No,No,No,Yes,No
1179,3381433,-20,12,0,240,330,420,428,451,553,628,117,No,0,0.94,0.88,20,No,No,No,Yes,No
1180,3381534,-1,8,1,30,45,60,3,9,21,73,3,No,0,0.22,0.22,2,No,No,No,Yes,No
1181,3381549,9,9,0,21,42,56,4,19,28,50,16,No,0,0.95,0.89,0,No,No,No,Yes,No
1182,3381563,0,12,0,43,63,83,2,26,40,52,2,No,0,0.73,0.79,0,No,No,No,Yes,No
1183,3381569,11,8,0,100,100,100,3,14,24,42,2,No,0,1,1,0,No,No,No,Yes,No
1184,3381699,5,12,0,8,16,24,4,13,20,30,0,No,0,0.87,0.8,0,No,No,No,Yes,No
1185,3381964,1084,8,1085,32,32,32,1,9,25,29,3,No,0,0.72,0.55,1,No,No,Yes,Yes,No
1186,3382109,0,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No
1187,3382126,0,2,0,13,19,19,0,0,0,0,1,No,0,0.77,0.64,0,No,No,No,Yes,No
1188,3382298,8,8,0,0,12,12,1,7,14,18,3,No,0,1,0.8,0,No,No,No,Yes,No
1189,3382316,5,8,0,160,240,240,29,64,152,262,17,No,0,0.91,0.95,1,No,No,Yes,Yes,No
1190,3382342,1,8,1,36,63,81,1,41,43,55,6,No,0,0.97,0.98,0,No,No,No,Yes,No
1191,3382346,8,9,0,0,2,3,1,4,10,17,0,No,0,0.96,0.95,0,No,No,No,Yes,No
1192,3382408,34,8,13,228,372,510,21,117,260,392,54,No,0,0.22,0.22,3,No,No,No,Yes,No
1193,3382582,0,8,0,125472,258240,319008,0,0,0,0,18108,No,0,0.89,0.9,0,No,No,Yes,Yes,No
1194,3382608,2,8,10,31,44,57,10,24,34,61,0,No,0,1,0.88,0,No,No,No,Yes,No
1195,3382659,0,8,0,22,22,22,3,4,19,37,3,No,0,0.36,0.44,0,No,No,No,Yes,No
1196,3382966,0,2,0,0,0,0,3,10,15,16,0,No,0,0.99,0.94,0,No,No,No,Yes,No
1197,3383014,284,12,0,628,628,628,149,498,700,1033,253,No,0,0.73,0.79,0,No,No,No,Yes,No
1198,3383025,2,12,0,23,35,44,6,11,24,34,11,No,0,0.77,0.75,0,No,No,No,Yes,No
1199,3383209,-101,8,0,317,317,317,0,0,0,0,2,No,0,-99,0.5,101,No,No,No,Yes,No
1200,3383270,11,8,0,242,242,332,41,107,214,319,34,No,0,0.25,0.26,2,No,No,No,Yes,No
1201,3383546,8,2,0,0,10,10,2,6,13,17,0,No,0,0.9,0.93,0,No,No,No,Yes,No
1202,3383693,95,4,0,180,360,360,20,132,176,246,33,No,0,0.67,0.69,0,No,No,No,Yes,No
1203,3383842,0,2,1,774,1194,1194,0,1,1,1,107,No,0,0.89,0.92,0,No,No,No,Yes,No
1204,3383860,0,2,0,18,36,36,1,3,6,6,1,No,0,0.84,0.55,1,Yes,No,No,No,No
1205,3383871,0,5,0,33,52,52,0,0,0,0,0,No,0,0.65,0.71,0,Yes,No,Yes,Yes,No
1206,3383929,0,8,0,4,7,9,1,4,5,8,0,No,0,0,0,0,No,No,No,Yes,No
1207,3384077,3,2,0,4,6,10,0,2,8,13,1,No,0,0.9,0.85,0,No,No,No,Yes,No
1208,3384379,0,4,0,6,9,12,0,0,0,0,0,No,0,0.54,0.48,0,No,No,Yes,Yes,No
1209,3384487,5,8,0,30,38,46,6,13,18,34,3,No,0,0.8,0.79,0,No,No,No,Yes,No
1210,3384622,0,2,0,2,3,4,1,2,2,2,0,No,0,0.82,0.81,0,No,No,No,Yes,No
1211,3384641,-1,,0,0,0,0,0,1,7,13,2,No,0,-99,-99,0,No,No,No,No,No
1212,3384721,11,8,0,75,75,150,8,21,43,71,13,No,0,0.9,0.92,0,No,No,No,Yes,No
1213,3384729,18,8,0,20,60,80,6,23,52,100,1,No,0,0.89,0.9,0,No,No,No,Yes,No
1214,3384777,3,2,2,17,34,50,3,5,5,5,0,No,0,0.57,0.56,0,No,No,No,Yes,No
1215,3384782,0,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,Yes,Yes,No
1216,3384800,10,2,0,0,7,7,13,47,47,49,0,No,0,0.99,0.99,0,Yes,No,Yes,Yes,No
1217,3384866,18,9,10,0,0,0,33,39,53,60,0,No,0,0.94,0.83,0,No,No,No,Yes,No
1218,3385066,0,8,0,9,18,27,2,12,23,28,4,No,0,0.88,0.92,0,No,No,No,Yes,No
1219,3385372,0,10,0,0,0,0,0,0,0,0,0,No,0,0.89,0.9,0,No,No,Yes,Yes,No
1220,3385543,30,2,0,0,0,0,2,8,18,37,2,No,0,0.74,0.77,0,Yes,No,Yes,Yes,No
1221,3385553,0,12,0,5,5,5,0,0,0,0,0,No,0,0.57,0.68,0,Yes,No,No,Yes,No
1222,3385566,3,2,0,3,6,9,0,0,8,9,0,No,0,0.76,0.85,0,No,No,No,Yes,No
1223,3385784,2,12,0,3,5,5,8,27,32,32,0,No,0,0.73,0.79,0,No,No,No,Yes,No
1224,3385790,20,2,0,0,10,12,0,1,1,1,0,No,0,0.98,0.93,0,Yes,No,Yes,Yes,No
1225,3385953,2,8,0,73,104,135,3,15,53,80,10,No,0,0.97,0.96,0,No,No,No,Yes,No
1226,3385978,0,8,0,3,5,8,3,8,12,18,3,No,0,1,1,0,No,No,No,Yes,No
1227,3386034,0,2,0,31,31,31,0,0,0,0,1,No,0,0.49,0.55,0,Yes,No,No,Yes,No
1228,3386043,0,2,0,3,3,3,0,0,0,0,0,No,0,0,0,0,Yes,No,Yes,Yes,No
1229,3386058,5,2,0,956,1912,2390,4,9,16,16,0,No,0,0.89,0.95,0,Yes,No,No,Yes,No
1230,3386242,4,8,0,22,35,52,5,16,42,51,0,No,0,0.85,0.84,0,No,No,No,Yes,No
1231,3386283,0,10,0,2,3,4,0,2,2,3,1,No,0,0.89,0.9,0,No,No,No,Yes,No
1232,3386379,13,8,0,32,64,64,6,21,48,111,2,No,0,0.38,0.51,0,No,No,Yes,Yes,No
1233,3386474,4,8,0,3,6,9,3,8,8,11,0,No,0,0.66,0.64,0,No,No,No,Yes,No
1234,3386623,0,8,0,2,3,3,0,3,4,4,0,No,0,0.83,0.85,0,No,No,No,Yes,No
1235,3386671,0,2,0,20,20,20,0,0,1,1,2,No,0,0.72,0.85,0,Yes,No,No,Yes,No
1236,3386681,2,2,0,2,4,5,1,2,3,4,0,No,0,-99,-99,0,No,No,Yes,Yes,No
1237,3386693,4,2,0,0,0,0,1,1,3,3,0,No,0,0.98,0.98,0,No,No,No,Yes,No
1238,3386714,2,2,0,43,43,43,2,5,5,6,0,No,0,0.7,0.73,0,Yes,No,No,Yes,No
1239,3387432,-571,12,0,4879,7585,10455,1054,4036,6414,8493,574,No,0,0.94,0.88,611,No,No,No,Yes,No
1240,3387435,1,8,0,21,36,36,13,32,69,118,0,No,0,1,1,0,No,No,No,Yes,No
1241,3387447,13,2,0,47,65,89,8,33,57,68,6,No,0,0.68,0.68,0,No,No,No,Yes,No
1242,3387456,4,2,0,0,5,5,2,4,5,5,0,No,0,0.98,0.99,0,No,No,No,Yes,No
1243,3387497,1,12,0,4,10,16,3,11,16,18,0,No,0,0.99,0.99,0,No,No,No,Yes,No
1244,3387516,14,8,1,135,198,261,21,58,130,213,36,No,0,0.81,0.58,0,No,No,No,Yes,No
1245,3387526,1,2,0,1,3,4,1,2,4,4,1,No,0,0.96,0.98,0,No,No,No,Yes,No
1246,3387624,0,12,0,5,5,5,0,0,0,0,0,No,0,0.97,0.98,0,Yes,No,No,Yes,No
1247,3387629,19,2,0,0,0,0,1,2,5,5,0,No,0,0.99,0.99,0,Yes,No,No,Yes,No
